Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Jackpot (NCX 911)|FMC.|FMC.|early midseason, green plants with medium compact frame, good wrappers, heads solid with a medium length core and average 2 to 3 pounds.|Head Start.|Texas, Florida, Wisconsin, Ohio, and New York. 1974.|cabbage yellows.|F1 hybrid, male is Golden Acre 84; female proprietary.
Jet Pak (925)|Northrup King and Co.|Northrup King and Co.|hybrid, hard head, medium core, Golden Acre season.|Golden Acre.||yellows.|
Julius|Reed.|Northrup King.|hybrid, round head, more savoyed, more open than Savoy King, semiglobe, medium large, medium green.||||
Junior (Morden GAZ 60-5.1)|Morden Expt. Farm, Manitoba, Canada.||very dwarf plants and small, 2-pound heads.|Golden Acre.|general.|none.|Golden Acre number 84/58-3 x Morden ZCO1A/58-3.
Kaitlin|Bejo Seeds.|Bejo Seeds.|processing F1 hybrid with very large, very dense heads that cut well mechanically.|||fusarium yellows, tipburn.|
Kempero|Seedway.|Bejo.|hybrid, red, long storage, very late, round large, black.|||tolerance to tipburn, speck.|
King Cole (Hybrid number 1)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid, foliage medium blue-green, heads lighter color than foliage, round to slightly flattened, relatively short cores, interior solid and white; second early for market and kraut.||general.|fusarium yellows.|female selection from Cornell University material.
King Slaw|W. Atlee Burpee Co.|W. Atlee Burpee Co.|||||
Kleen Cut (Sakata Number 33)|T. Sakata and Co.|Northrup King and Co.|F1 hybrid, head slightly larger than Copenhagen Market but maturity about same season or slightly later; head medium size, 7.75' deep x 7.5' wide; stem short; uniform green leaf color.|Copenhagen Market. 1965.|||closed.
Krautman|Seedway.|Bejo.|hybrid, processing, medium tall heads, stand upright dark green wrappers, midseason.|||tolerance to tipburn, black speck.|
Krautpacker|Seedway.|Bejo.|hybrid, processing, high yielding, midseason, oval, dense, short core.|||yellows; tolerance to tipburn, split.|
Lectro|Seedway.|Bejo.|hybrid, red, very long term storage, very late, round, medium large.|||tolerance to tipburn, black speck.|
Lennox|Seedway.|Bejo.|hybrid, storage, long term, green out of storage.|||tolerance to black speck, tipburn.|
Little League (PSX25950)|Petoseed.|Petoseed.|extremely early maturity, 48 day maturity, very small heads about softball size; small compact plants, good flavor. 1994.||||
Little Leaguer (Morden GAZ 60-5.3)|Morden Expt. Farm, Manitoba, Canada.||very dwarf plants and small 1.5-pound heads.|Morden Midget.|general.||Golden Acre number 84/58-3 x Morden ZCO1A-58-3.
Little Rock (Hybrid Number 9)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F2 hybrid, uniform, firm heads, round to slightly elongated; color whitish-blue-green; suitable for fresh market or kraut; intermediate between Copenhagen and Ballhead.||Wisconsin, Michigan, Ohio, Indiana, and Florida. 1966.|fusarium yellows.|combined inbreds of Ferry-Morse Seed Co.
Loughton|Nickerson-Zwaan.|Shamrock Seed Co.|storage hybrid with large, round heads.|||fusarium yellows.|
Lynx|Chriseed.||hybrid, midseason, deep blue-green, medium size, very good flavor.|||yellows, tolerance to tipburn, high tolerance to black rot.|
Madison|Southeastern Vegetable Breeding Laboratory, Charleston, South Carolina.||high vitamin C content, cold hardiness and nonbolting, early, compact.|Copenhagen.|Southern U.S. Southern Seedsman 7(1):11 46. 1944.||Wisconsin Ballhead (selection).
Market Dawn (TIBM)|Joseph Harris Co.|Joseph Harris Co.|F2 hybrid, early market type; white blue-green color; very uniform for type and size.|C.C. Cross.|northern cabbage areas. 1967.|fusarium yellows.|
Market Master Hybrid|Joseph Harris Co., Rochester, New York.|Joseph Harris Co., Rochester, New York.|F1 hybrid, slightly flattened early Danish type; uniform size and type, (3 to 4 pounds); desirable for market cabbage.||northeastern United States and the east coast. J. Harris Company Catalog, 1959.|yellows.|incompatible J.H. Company Danish inbred x incompatible Cornell inbred 52-153.
Market Prize (C2BM)|Joseph Harris Co.|Joseph Harris Co.|F1 hybrid, midseason market type with blue-green color; very uniform for type and size.|Early Danish.|cabbage areas of the United States and Canada. 1964.|fusarium yellows.|
Market Topper|Joseph Harris Company, Rochester, New York.|Joseph Harris Company, Rochester, New York.|F1 hybrid, second early market cabbage of uniform medium size and maturity; blue-green color; hybrid vigor.||eastern United States. Harris catalog, 1961.|cabbage yellows.|closed.
Market Victor (hybrid V)|Joseph Harris Co.|Joseph Harris Co.|hybrid, medium early, uniform, small, round heads of blue-green color with short cores.|Market Topper and Copenhagen Market.|northern United States. Joseph Harris Company Catalog, 1972.|to yellows.|
Market Winner|Joseph Harris Co, Rochester, New York.|Joseph Harris Co, Rochester, New York.|F1 hybrid, second early market cabbage of uniform small size and maturity; very blue-green color; hybrid vigor.|Copenhagen Market.|eastern United States. Harris catalog, 1961.|cabbage yellows.|closed.
Marvellon|Reed.|Nickerson.|hybrid, large, medium early open, high yielder, good holding.|||yellows, tipburn; tolerance to very strong to thrips.|
Masada|Seedway.|Bejo.|hybrid, mid-term storage, easy trimming.|||yellows, tolerance to thrips, tipburn.|
Medium Copenhagen Resistant|Ferry-Morse Seed Company, Detroit.|Ferry-Morse Seed Company, Detroit.|early, round, sure heading.|Resistant Detroit.|wide. 1949.|cabbage yellows.|single plant selection of Resistant Detroit.
Megaton|Bejo Seeds.|Seedway.|high-yielding processing cultivar with large frame and short core; vigorous, late to midseason maturity.|||fusarium yellows; tipburn tolerant.|F1 hybrid.
