2012-07-18T03:23:08+00:00 DEBUG (7): exists: Sal, bean dry
2012-07-18T03:24:23+00:00 DEBUG (7): exists: Gal, melon
2012-07-18T03:24:27+00:00 DEBUG (7): exists: Orange Dew, melon
2012-07-18T03:24:29+00:00 DEBUG (7): exists: Shipper, melon
2012-07-18T03:24:39+00:00 DEBUG (7): exists: Exporter, onion
2012-07-18T03:24:39+00:00 DEBUG (7): exists: Fiesta, onion
2012-07-18T03:24:42+00:00 DEBUG (7): exists: L690, onion
2012-07-18T03:24:43+00:00 DEBUG (7): exists: Characteristics:, onion
2012-07-18T03:24:45+00:00 DEBUG (7): exists: Nova, onion
2012-07-18T03:24:45+00:00 DEBUG (7): exists: Nugget, onion
2012-07-18T03:24:48+00:00 DEBUG (7): exists: Renegade, onion
2012-07-18T03:24:52+00:00 DEBUG (7): exists: Surprise, onion
2012-07-18T03:24:54+00:00 DEBUG (7): exists: Tioga (PS 663395), onion
2012-07-18T03:24:54+00:00 DEBUG (7): exists: Treasure, onion
2012-07-18T03:24:57+00:00 DEBUG (7): exists: Z303, onion
2012-07-18T03:24:57+00:00 DEBUG (7): exists: Z506, onion
2012-07-18T03:24:59+00:00 DEBUG (7): exists: Aska, pea green
2012-07-18T03:25:06+00:00 DEBUG (7): exists: Frosty, pea green
2012-07-18T03:25:16+00:00 DEBUG (7): exists: Reco, pea green
2012-07-18T03:25:19+00:00 DEBUG (7): exists: Sugar Snap, pea green
2012-07-18T03:25:22+00:00 DEBUG (7): exists: Thomas Laxton 251, pea green
2012-07-18T03:25:23+00:00 DEBUG (7): exists: Characteristics:, pea green
2012-07-18T03:25:39+00:00 DEBUG (7): exists: Inia, pepper
2012-07-18T03:25:39+00:00 DEBUG (7): exists: Jalapeno M, pepper
2012-07-18T03:25:41+00:00 DEBUG (7): exists: Long Green, pepper
2012-07-18T03:25:46+00:00 DEBUG (7): exists: Ori, pepper
2012-07-18T03:25:55+00:00 DEBUG (7): exists: Sweet Banana, pepper
2012-07-18T03:25:55+00:00 DEBUG (7): exists: Sweet Spice, pepper
2012-07-18T03:25:55+00:00 DEBUG (7): exists: Tabasco, pepper
2012-07-18T03:25:56+00:00 DEBUG (7): exists: Thai Hot, pepper
2012-07-18T03:25:58+00:00 DEBUG (7): exists: Wonder Giant, pepper
2012-07-18T03:26:09+00:00 DEBUG (7): exists: DeSota, potato
2012-07-18T03:26:21+00:00 DEBUG (7): exists: Ona, potato
2012-07-18T03:26:23+00:00 DEBUG (7): exists: Pontiac, potato
2012-07-18T03:26:23+00:00 DEBUG (7): exists: Pride, potato
2012-07-18T03:26:23+00:00 DEBUG (7): exists: Ptarmigan (F76080), potato
2012-07-18T03:26:26+00:00 DEBUG (7): exists: Redskin, potato
2012-07-18T03:26:28+00:00 DEBUG (7): exists: Sebago, potato
2012-07-18T03:26:34+00:00 DEBUG (7): exists: York, potato
2012-07-18T03:26:52+00:00 DEBUG (7): exists: Pam, pumpkin
2012-07-18T03:27:05+00:00 DEBUG (7): exists: Scarlet Globe, radish
2012-07-18T03:27:08+00:00 DEBUG (7): exists: Victoria, rhubarb
2012-07-18T03:27:17+00:00 DEBUG (7): exists: Sal, bean dry
2012-07-18T03:27:20+00:00 DEBUG (7): exists: Comet (251B), bean green
2012-07-18T03:27:21+00:00 DEBUG (7): exists: Gallatin 50, bean green
2012-07-18T03:27:25+00:00 DEBUG (7): exists: Skil, bean green
2012-07-18T03:27:27+00:00 DEBUG (7): exists: Toga, bean green
2012-07-18T03:27:31+00:00 DEBUG (7): exists: Green Mountain, broccoli
2012-07-18T03:27:34+00:00 DEBUG (7): exists: Green Mountain, brussels sprouts
2012-07-18T03:27:40+00:00 DEBUG (7): exists: Number 33, cabbage
2012-07-18T03:27:46+00:00 DEBUG (7): exists: Nugget, carrot
2012-07-18T03:27:53+00:00 DEBUG (7): exists: Utah 52-70, celery
2012-07-18T03:28:01+00:00 DEBUG (7): exists: Characteristics:, cucumber
2012-07-18T03:28:03+00:00 DEBUG (7): exists: Mandarin, cucumber
2012-07-18T03:28:03+00:00 DEBUG (7): exists: Marketer, cucumber
2012-07-18T03:28:04+00:00 DEBUG (7): exists: Muncher, cucumber
2012-07-18T03:28:07+00:00 DEBUG (7): exists: Pinnacle, cucumber
2012-07-18T03:28:07+00:00 DEBUG (7): exists: Prolific, cucumber
2012-07-18T03:28:08+00:00 DEBUG (7): exists: , cucumber
2012-07-18T03:28:15+00:00 DEBUG (7): exists: Long Purple, eggplant
2012-07-18T03:28:16+00:00 DEBUG (7): exists: Rosita, eggplant
2012-07-18T03:28:18+00:00 DEBUG (7): exists: Salad King, endive
2012-07-18T03:28:19+00:00 DEBUG (7): exists: Round, gourd benincasa
2012-07-18T03:28:21+00:00 DEBUG (7): exists: Extra Long, gourd laganaria
2012-07-18T03:28:22+00:00 DEBUG (7): exists: Nigerian Saybo, gourd laganaria
2012-07-18T03:28:25+00:00 DEBUG (7): exists: Italian, herbs parsley
2012-07-18T03:28:25+00:00 DEBUG (7): exists: Moss Curled, herbs parsley
2012-07-18T03:28:25+00:00 DEBUG (7): exists: Paramount, herbs parsley
2012-07-18T03:28:26+00:00 DEBUG (7): exists: Plain, herbs parsley
2012-07-18T03:28:26+00:00 DEBUG (7): exists: Triple Curled, herbs parsley
2012-07-18T03:28:34+00:00 DEBUG (7): exists: Great Lakes, lettuce
2012-07-18T03:28:38+00:00 DEBUG (7): exists: Niner, lettuce
2012-07-18T03:28:39+00:00 DEBUG (7): exists: Rave, lettuce
2012-07-18T03:28:40+00:00 DEBUG (7): exists: Rico, lettuce
2012-07-18T03:28:41+00:00 DEBUG (7): exists: Salad Bowl, lettuce
2012-07-18T03:28:42+00:00 DEBUG (7): exists: Signal, lettuce
2012-07-18T03:28:42+00:00 DEBUG (7): exists: Simpson Elite, lettuce
2012-07-18T03:28:43+00:00 DEBUG (7): exists: Time, lettuce
2012-07-18T03:28:44+00:00 DEBUG (7): exists: Vanguard, lettuce
2012-07-18T03:28:44+00:00 DEBUG (7): exists: Velvet, lettuce
2012-07-18T03:28:45+00:00 DEBUG (7): exists: Winterhaven Select, lettuce
2012-07-18T03:28:49+00:00 DEBUG (7): exists: Gal, melon
2012-07-18T03:28:53+00:00 DEBUG (7): exists: Orange Dew, melon
2012-07-18T03:28:55+00:00 DEBUG (7): exists: Shipper, melon
2012-07-18T03:29:08+00:00 DEBUG (7): exists: Exporter, onion
2012-07-18T03:29:08+00:00 DEBUG (7): exists: Fiesta, onion
2012-07-18T03:29:13+00:00 DEBUG (7): exists: L690, onion
2012-07-18T03:29:13+00:00 DEBUG (7): exists: Characteristics:, onion
2012-07-18T03:29:15+00:00 DEBUG (7): exists: Nova, onion
2012-07-18T03:29:15+00:00 DEBUG (7): exists: Nugget, onion
2012-07-18T03:29:19+00:00 DEBUG (7): exists: Renegade, onion
2012-07-18T03:29:24+00:00 DEBUG (7): exists: Surprise, onion
2012-07-18T03:29:26+00:00 DEBUG (7): exists: Tioga (PS 663395), onion
2012-07-18T03:29:26+00:00 DEBUG (7): exists: Treasure, onion
2012-07-18T03:29:29+00:00 DEBUG (7): exists: Z303, onion
2012-07-18T03:29:29+00:00 DEBUG (7): exists: Z506, onion
2012-07-18T03:29:32+00:00 DEBUG (7): exists: Aska, pea green
2012-07-18T03:29:39+00:00 DEBUG (7): exists: Frosty, pea green
2012-07-18T03:29:48+00:00 DEBUG (7): exists: Reco, pea green
2012-07-18T03:29:52+00:00 DEBUG (7): exists: Sugar Snap, pea green
2012-07-18T03:29:54+00:00 DEBUG (7): exists: Thomas Laxton 251, pea green
2012-07-18T03:29:56+00:00 DEBUG (7): exists: Characteristics:, pea green
2012-07-18T03:30:12+00:00 DEBUG (7): exists: Inia, pepper
2012-07-18T03:30:13+00:00 DEBUG (7): exists: Jalapeno M, pepper
2012-07-18T03:30:15+00:00 DEBUG (7): exists: Long Green, pepper
2012-07-18T03:30:19+00:00 DEBUG (7): exists: Ori, pepper
2012-07-18T03:30:28+00:00 DEBUG (7): exists: Sweet Banana, pepper
2012-07-18T03:30:28+00:00 DEBUG (7): exists: Sweet Spice, pepper
2012-07-18T03:30:28+00:00 DEBUG (7): exists: Tabasco, pepper
2012-07-18T03:30:29+00:00 DEBUG (7): exists: Thai Hot, pepper
2012-07-18T03:30:31+00:00 DEBUG (7): exists: Wonder Giant, pepper
2012-07-18T03:30:38+00:00 DEBUG (7): exists: DeSota, potato
2012-07-18T03:30:43+00:00 DEBUG (7): exists: Ona, potato
2012-07-18T03:30:45+00:00 DEBUG (7): exists: Pontiac, potato
2012-07-18T03:30:45+00:00 DEBUG (7): exists: Pride, potato
2012-07-18T03:30:45+00:00 DEBUG (7): exists: Ptarmigan (F76080), potato
2012-07-18T03:30:46+00:00 DEBUG (7): exists: Redskin, potato
2012-07-18T03:30:47+00:00 DEBUG (7): exists: Sebago, potato
2012-07-18T03:30:50+00:00 DEBUG (7): exists: York, potato
2012-07-18T03:30:55+00:00 DEBUG (7): exists: Pam, pumpkin
2012-07-18T03:31:04+00:00 DEBUG (7): exists: Scarlet Globe, radish
2012-07-18T03:31:05+00:00 DEBUG (7): exists: Victoria, rhubarb
2012-07-18T03:41:30+00:00 DEBUG (7): imported: 62
2012-07-18T03:53:53+00:00 DEBUG (7): imported: 62
2012-07-18T03:57:30+00:00 DEBUG (7): imported: 62
2012-07-18T04:04:05+00:00 DEBUG (7): imported: 62
2012-07-18T04:06:56+00:00 DEBUG (7): imported: 62
2012-07-18T04:16:35+00:00 DEBUG (7): imported: 62
2012-07-18T04:20:54+00:00 DEBUG (7): imported: 62
2012-07-18T04:24:38+00:00 DEBUG (7): imported: 62
2012-07-18T04:25:48+00:00 DEBUG (7): imported: 62
2012-07-18T04:30:17+00:00 DEBUG (7): imported: 62
2012-07-18T04:32:13+00:00 DEBUG (7): imported: 62
2012-07-18T04:34:37+00:00 DEBUG (7): imported: 62
2012-07-18T04:37:09+00:00 DEBUG (7): imported: 62
2012-07-18T04:37:48+00:00 DEBUG (7): imported: 11
2012-07-18T04:38:06+00:00 DEBUG (7): imported: 11
2012-07-18T04:38:25+00:00 DEBUG (7): imported: 11
2012-07-18T04:41:07+00:00 DEBUG (7): imported: 11
2012-07-18T04:41:21+00:00 DEBUG (7): imported: 11
2012-07-18T04:44:51+00:00 DEBUG (7): imported: 11
2012-07-18T04:45:19+00:00 DEBUG (7): imported: 11
2012-07-18T04:45:45+00:00 DEBUG (7): imported: 11
2012-07-18T04:45:58+00:00 DEBUG (7): imported: 11
2012-07-18T04:49:24+00:00 DEBUG (7): imported: 11
2012-07-18T04:51:46+00:00 DEBUG (7): imported: 62
2012-07-18T04:55:49+00:00 DEBUG (7): imported: 62
2012-07-18T04:59:40+00:00 DEBUG (7): imported: 62
2012-07-18T05:05:00+00:00 DEBUG (7): imported: 62
2012-07-18T05:08:12+00:00 DEBUG (7): imported: 62
2012-07-18T05:36:24+00:00 DEBUG (7): imported: 62
2012-07-18T05:38:19+00:00 DEBUG (7): imported: 62
